Iterations,Approximation of PI,Absolute Error,Execution Time (s),Correct Decimal Places
1,4.000000000000000,0.8584073464,0.000022,0
3,3.466666666666667,0.3250740131,0.000079,1
19,3.194187909231943,0.0525952556,0.000117,2
119,3.149995866593470,0.0084032130,0.000267,3
1688,3.141000236580159,0.0005924170,0.002559,4
10794,3.141500009528466,0.0000926441,0.014958,5
136121,3.141599999994786,0.0000073464,0.134407,6
1530012,3.141592000000233,0.0000006536,1.401601,7
18660304,3.141592600000001,0.0000000536,17.149694,8
155973051,3.141592659999999,0.0000000064,143.128878,9
1362988896,3.141592653000000,0.0000000006,1255.245897,10
1584294516,3.141592653500000,0.0000000001,1459.173499,11
1608612706,3.141592653580000,0.0000000000,1481.370748,12
1611227808,3.141592653589000,0.0000000000,1483.765222,13
1611428360,3.141592653589700,0.0000000000,1483.949505,14
