Number of Process,Size,Execution,Time (s)
2,512 x 512,1,0.001341
2,512 x 512,2,0.001064
2,512 x 512,3,0.001022
2,1024 x 1024,1,0.003948
2,1024 x 1024,2,0.003644
2,1024 x 1024,3,0.003639
2,2048 x 2048,1,0.014412
2,2048 x 2048,2,0.015240
2,2048 x 2048,3,0.015258
2,3072 x 3072,1,0.033389
2,3072 x 3072,2,0.032489
2,3072 x 3072,3,0.032483
2,4096 x 4096,1,0.058055
2,4096 x 4096,2,0.058361
2,4096 x 4096,3,0.057894
4,512 x 512,1,0.001273
4,512 x 512,2,0.001215
4,512 x 512,3,0.001265
4,1024 x 1024,1,0.004353
4,1024 x 1024,2,0.004405
4,1024 x 1024,3,0.004469
4,2048 x 2048,1,0.015494
4,2048 x 2048,2,0.014583
4,2048 x 2048,3,0.014522
4,3072 x 3072,1,0.032292
4,3072 x 3072,2,0.032311
4,3072 x 3072,3,0.032915
4,4096 x 4096,1,0.056042
4,4096 x 4096,2,0.055751
4,4096 x 4096,3,0.055733
8,512 x 512,1,0.001330
8,512 x 512,2,0.001334
8,512 x 512,3,0.001315
8,1024 x 1024,1,0.004395
8,1024 x 1024,2,0.004369
8,1024 x 1024,3,0.004656
8,2048 x 2048,1,0.014162
8,2048 x 2048,2,0.014189
8,2048 x 2048,3,0.013843
8,3072 x 3072,1,0.029240
8,3072 x 3072,2,0.028067
8,3072 x 3072,3,0.029193
8,4096 x 4096,1,0.057818
8,4096 x 4096,2,0.057242
8,4096 x 4096,3,0.057477
16,512 x 512,1,0.001615
16,512 x 512,2,0.001695
16,512 x 512,3,0.001659
16,1024 x 1024,1,0.004715
16,1024 x 1024,2,0.004760
16,1024 x 1024,3,0.004745
16,2048 x 2048,1,0.018106
16,2048 x 2048,2,0.017450
16,2048 x 2048,3,0.018312
16,3072 x 3072,1,0.032887
16,3072 x 3072,2,0.032499
16,3072 x 3072,3,0.033996
16,4096 x 4096,1,0.047311
16,4096 x 4096,2,0.047256
16,4096 x 4096,3,0.048839
32,512 x 512,1,0.002091
32,512 x 512,2,0.002073
32,512 x 512,3,0.002073
32,1024 x 1024,1,0.005744
32,1024 x 1024,2,0.005819
32,1024 x 1024,3,0.005798
32,2048 x 2048,1,0.020451
32,2048 x 2048,2,0.020265
32,2048 x 2048,3,0.020356
32,3072 x 3072,1,0.045014
32,3072 x 3072,2,0.044997
32,3072 x 3072,3,0.044713
32,4096 x 4096,1,0.059722
32,4096 x 4096,2,0.059857
32,4096 x 4096,3,0.059812
