n,threads,version,total_primes,time_seconds
4,1,sequential,2,0.000000
4,1,parallel_no_reduction,2,0.000156
4,1,parallel_reduction,2,0.000001
4,2,sequential,2,0.000000
4,2,parallel_no_reduction,2,0.000058
4,2,parallel_reduction,2,0.000017
4,3,sequential,2,0.000000
4,3,parallel_no_reduction,2,0.000051
4,3,parallel_reduction,2,0.000021
4,4,sequential,2,0.000000
4,4,parallel_no_reduction,2,0.000046
4,4,parallel_reduction,2,0.000026
4,5,sequential,2,0.000000
4,5,parallel_no_reduction,2,0.000061
4,5,parallel_reduction,2,0.000033
4,6,sequential,2,0.000000
4,6,parallel_no_reduction,2,0.000082
4,6,parallel_reduction,2,0.000034
4,7,sequential,2,0.000000
4,7,parallel_no_reduction,2,0.000086
4,7,parallel_reduction,2,0.000047
4,8,sequential,2,0.000000
4,8,parallel_no_reduction,2,0.000089
4,8,parallel_reduction,2,0.000049
1000,1,sequential,168,0.000034
1000,1,parallel_no_reduction,168,0.000036
1000,1,parallel_reduction,168,0.000035
1000,2,sequential,168,0.000033
1000,2,parallel_no_reduction,168,0.000090
1000,2,parallel_reduction,168,0.000034
1000,3,sequential,168,0.000034
1000,3,parallel_no_reduction,158,0.000075
1000,3,parallel_reduction,168,0.000045
1000,4,sequential,168,0.000033
1000,4,parallel_no_reduction,152,0.000078
1000,4,parallel_reduction,168,0.000049
1000,5,sequential,168,0.000034
1000,5,parallel_no_reduction,159,0.000081
1000,5,parallel_reduction,168,0.000070
1000,6,sequential,168,0.000033
1000,6,parallel_no_reduction,161,0.000074
1000,6,parallel_reduction,168,0.000070
1000,7,sequential,168,0.000028
1000,7,parallel_no_reduction,159,0.000070
1000,7,parallel_reduction,168,0.000047
1000,8,sequential,168,0.000029
1000,8,parallel_no_reduction,150,0.000086
1000,8,parallel_reduction,168,0.000054
10000,1,sequential,1229,0.000562
10000,1,parallel_no_reduction,1229,0.000573
10000,1,parallel_reduction,1229,0.000559
10000,2,sequential,1229,0.000554
10000,2,parallel_no_reduction,1186,0.000359
10000,2,parallel_reduction,1229,0.000344
10000,3,sequential,1229,0.000566
10000,3,parallel_no_reduction,1182,0.000489
10000,3,parallel_reduction,1229,0.000506
10000,4,sequential,1229,0.000493
10000,4,parallel_no_reduction,1201,0.000409
10000,4,parallel_reduction,1229,0.000450
10000,5,sequential,1229,0.000828
10000,5,parallel_no_reduction,893,0.000428
10000,5,parallel_reduction,1229,0.000264
10000,6,sequential,1229,0.000996
10000,6,parallel_no_reduction,793,0.000330
10000,6,parallel_reduction,1229,0.000279
10000,7,sequential,1229,0.000844
10000,7,parallel_no_reduction,976,0.000404
10000,7,parallel_reduction,1229,0.000288
10000,8,sequential,1229,0.000960
10000,8,parallel_no_reduction,1021,0.000335
10000,8,parallel_reduction,1229,0.000326
100000,1,sequential,9592,0.013779
100000,1,parallel_no_reduction,9592,0.010843
